adjective,useful,valid for pattern 4,pattern 4 type,valid for pattern 3
آبی,1,,,
آرام,1,1,speed,1
آستان,1,1,length,
آستین دراز,1,,,
آشکار,1,,,
آکبند,1,1,time,
آهسته,1,1,speed,1
ابتدایی,1,1,time,1
ارزان,1,,,
افسارگسیخته,1,,,1
انبوه,1,,,
اندک,1,,,1
انگیزش,1,1,energy,
اونجا,1,,,
ایستاده,1,1,speed,
ایستا,1,1,speed,1
بارش,1,,,
باریک,1,1,length,1
باریکی,1,,,
بازمان,1,,,
باستان,1,1,time,1
بکارنرفته,1,,,
بلند,1,1,length,1
بی‌وزن,1,1,force,1
پادساعتگرد,1,,,1
پت و پهن,1,1,area,1
پخ,1,1,area,1
پخش,1,1,area,1
پر,1,1,volume,1
پربار,1,,,
پرت,1,1,length,1
پرتاب,1,,,
پرش,1,,,
پرقدرت,1,1,force,1
پست,1,1,length,1
پهن,1,1,area,1
پهین,1,1,area,1
پوک,1,1,volume,1
پویا,1,1,speed,1
پیر,1,1,time,1
پیمایش,1,,,
پیمودنی,1,,,1
تاره,1,,,1
تاریک و روشن,1,,,
تازه,1,1,time,1
تمام‌عیار,1,,,
تن,1,,,
تندرو,1,1,speed,1
تنگ,1,1,area,1
تهی,1,1,volume,1
تیک تاک,1,,,
جست وخیز,1,,,
جهش,1,,,
جوش,1,1,temperature,1
جوشش,1,,,
جوشی,1,,,
چابک,1,1,speed,1
چالاک,1,1,speed,1
چرخان,1,1,torque,1
چرخنده,1,1,torque,1
چفت,1,,,
چمان,1,,,1
خارا,1,,,
خام,1,,,
خاموش,1,,,
خپله,1,,,1
خشک,1,,,
خم,1,,,
خمش,1,,,
خموش,1,,,
خنک,1,1,temperature,1
خوب,1,,,1
داخته,1,1,temperature,1
داغ,1,1,temperature,1
دبش,1,,,
درست‌وحسابی,1,,,1
دم سرد,1,1,temperature,1
دمان,1,,,
دوآتشه,1,1,temperature,1
دوبل,1,,,1
دون,1,1,length,
راست,1,,,
ربایش,1,1,force,1
روشن,1,,,
ریز,1,1,volume,1
ریزه,1,,,
زبر,1,,,
زبردست,1,,,
زبون,1,,,
زمانی,1,1,time,1
زمخت,1,,,
زور,1,1,force,
ژرف,1,1,length,1
ساده,1,,,
ساعتگرد,1,1,torque,
ساکت,1,,,
سال گردش,1,,,
سالانه,1,1,time,1
سایش,1,,,
سبک,1,1,force,1
سخت,1,,,
سر,1,,,
سُر,1,,,
سرایش,1,,,
سربار,1,,,
سرد,1,1,temperature,1
سره,1,,,
سریع,1,1,speed,1
سفت,1,,,
سنگین,1,1,force,1
سو,1,,,
سوختنی,1,,,
شل,1,,,
شیمیایی,1,,,1
صدایی,1,,,
صفرکیلومتر,1,1,time,
ضعیف,1,,,1
غلت,1,,,
غول‌آسا,1,1,volume,1
غول‌پیکر,1,1,volume,1
فت,1,,,
فتاده,1,,,
فراخه,1,,,
فراوان,1,,,1
فرز,1,1,speed,1
فرسایش,1,,,
فزایش,1,,,
فزون,1,,,
فسقلی,1,1,volume,1
فشارش,1,,,
قد,1,,,
قدرتمند,1,1,force,1
قوی,1,,,1
کاتوره,1,,,1
کاوش,1,,,
کشش,1,1,force,1
کلان,1,,,1
کلفت,1,1,length,1
کم,1,,,1
کمین,1,,,1
کمینه,1,,,1
کند,1,1,speed,1
کندآور,1,,,
کهنه,1,1,time,1
کوب,1,,,
کوچک,1,1,length,1
کوچولو,1,1,length,1
کور,1,,,
کیپ,1,,,
گداز,1,1,temperature,1
گدازش,1,,,
گذار,1,,,
گذشت,1,,,
گران,1,,,
گردش,1,,,
گرم,1,,,1
گرمازده,1,1,temperature,
گز,1,1,length,
گزاف,1,,,
گسترده,1,1,area,
گشاد,1,1,length,1
گنجایش,1,1,volume,
گنده,1,1,volume,1
گود,1,1,length,1
لال,1,,,
لخت,1,,,1
لخته,1,,,
لرزش,1,,,
