length,متر,m,سانتیمتر,cm,اینچ,inch,میلیمتر,mm,فوت,پا-فیت-foot-feet,کیلومتر,km,مایل,mile,یارد,yard,مایل دریایی,nautical mile,دسی متر,dm,میکرون,micron,میکرومتر,μm,نانومتر,nm,آنگستروم,Angstrom,پیکومتر,pm,فمتومتر,,ذرع,,گز,,وجب,,فرسنگ,,فرسخ,,فرسنگ شرعی,,فرسخ شرعی,,فاتوم,ftm,زنجیر,chain,فرلانگ,fur,میل,,ثو,xu,سال نوری,light year,ثانیه نوری,light second,واحد نجومی,au,پارسک,pc,شعاع خورشیدی,solar radius,,,,,,,,,,,,,,
mass,تن,Ton,کیلوگرم,kg,پوند,lb,گرم,g,میلی گرم,mg,میکرو گرم,μg,اونس معمولی,oz,اونس تروا,,تروی,oz t,اسلاگ,slug,نیوتن,,کیلو نیوتن,,قیراط,carat,مثقال,,سیر,,چارک,,سوت,,گندم,,نخود,,خروار,,من اصفهان,,من ری,,من تبریز,,من لرستان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pressure,پاسکال,pa,بار,bar,پی اس آی,psi,کیلو پاسکال,kpa,مگا پاسکال,Mpa,گیگا پاسکال,Gpa,میلی بار,mbar,باری,barye,اتمسفر,atm,تور,Torr,میلیمتر جیوه,mmHg,سانتیمتر جیوه,cmHg,اینچ جیوه,inHg,فوت جیوه,fHg,میلیمتر آب,mmH2o,سانتیمتر آب,cmH2o,اینچ آب,inH2o,فوت آب,fH2o,متر آب,mH2o,اتمسفر فنی,at,پوند بر اینچ مربع,psi,پوند بر فوت مربع,psf,پوندال بر فوت مربع,pdl.sf,نیوتن بر متر مربع,,نیوتن بر سانتیمتر مربع,,نیوتن بر میلیمتر مربع,,کیلو نیوتن بر متر مربع,,کیلو نیوتن بر سانتیمتر مربع,,کیلو نیوتن بر میلیمتر مربع,,کیلوگرم بر متر مربع,,کیلوگرم بر سانتیمتر مربع,,کیلوگرم بر میلیمتر مربع,,گرم بر متر مربع,,گرم بر سانتیمتر مربع,,گرم بر میلیمتر مربع,,تن بر متر مربع,,,,,,,,,
volume,لیتر,L,میلی لیتر,mL,متر مکعب,,سانتیمتر مکعب,,سی سی,cc,میلی متر مکعب,,فوت مکعب,,گالن آمریکایی,gal-us,گالن انگلیسی,gal-uk,دسی متر مکعب,,اینچ مکعب,,یارد مکعب,,بشکه-نفت آمریکایی,us-barrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature,سانتیگراد,C,فارنهایت,F,کلوین,K,رانکین,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area,متر مربع,,سانتیمتر مربع,,میلی متر مربع,,کیلومتر مربع,,فوت مربع,,اینچ مربع,,مایل مربع,,یارد مربع,,هکتار,,جریب,,acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speed,متر بر ثانیه,m/s,فوت بر ثانیه,fps,کیلومتر بر ساعت,km/h,مایل بر ساعت,mph,ماخ,,در سطح دریا,M,ماخ,,ارتفاع 12 کیلومتری سطح زمین,M,گره,knot,کیلومتر بر ثانیه,km/s,مایل بر ثانیه,mps,متر بر دقیقه,m/min,متر بر ساعت,m/h,کیلومتر بر دقیقه,km/min,مایل بر دقیقه,mpm,فوت بر دقیقه,fpm,فوت بر ساعت,fph,اینچ بر ثانیه,ips,اینچ بر دقیقه,ipm,اینچ بر ساعت,iph,سانتیمتر بر ثانیه,cm/s,سانتیمتر بر دقیقه,cm/min,سانتیمتر بر ساعت,cm/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
force,نیوتن,N,گرم-نیرو,gf,کیلوگرم-نیرو,kgf,پوند-نیرو,lbf,اونس-نیرو,ozf,دین,dyn,پوندال,pdl,کیلوپوند,kp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy,ژول,j,میلی ژول,mj,میکرو ژول,μj,کیلو ژول,kj,مگا ژول,Mj,گیگا ژول,Gj,میلی وات ساعت,mW.h,وات ساعت,W.h,کیلو وات ساعت,kW.h,مگا وات ساعت,MW.h,گیگا وات ساعت,GW.h,کالری,cal,میلی کالری,mcal,کیلو کالری,kcal,اسب بخار - ساعت,hp.h,واحد گرمایی انگلیسی,BTU,فوت پوند,ft.lb,فوت پوندال,ft-pdl,اینچ پوند نیرو,in.lbf,ارگ,erg,لیتر اتمسفر,L.atm,گالن اتمسفر انگلیسی,imp gal.atm,گالن اتمسفر آمریکایی,us gal.atm,هارتری,Eh,ریدبرگ,Ry,الکترون ولت,ev,مگا الکترون ولت,Mev,ترم استاندارد,Ec-therm,ترم آمریکایی,us-therm,بشکه نفت,BOE,تن نفت,toe,تن تی ان تی,ton of TNT,,,,,,,,,,,,,,,,
power,وات,W,میلی وات,mW,کیلو وات,kW,مگا وات,MW,گیگا وات,GW,اسب بخار,hp,ژول بر ثانیه,j/s,ژول بر دقیقه,j/min,ژول بر ساعت,j/h,کالری بر ثانیه,cal/s,کالری بر دقیقه,cal/min,کالری بر ساعت,cal/h,لیتر اتمسفر بر ساعت,L.atm/h,لیتر اتمسفر بر دقیقه,L.atm/min,لیتر اتمسفر بر ثانیه,L.atm/s,ارگ بر ثانیه,erg/s,فوت پوند بر ساعت,ft.lb/h,فوت پوند بر دقیقه,ft.lb/min,فوت پوند بر ثانیه,ft.lb/s,BTU بر ثانیه,BTU/s,BTU بر دقیقه,BTU/min,BTU بر ساعت,BTU/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torque,نیوتن-متر,N.m,فوت-پوند نیرو,ft.lbf,متر-کیلوگرم نیرو,m.Kgf,متر-کیلو پوند,m.Kp,سانتیمتر-کیلوگرم نیرو,cm.Kgf,سانتیمتر-گرم نیرو,cm.gf,اینچ-اونس نیرو,in.ozf,اینچ-پوند نیرو,in.lbf,فوت پوندال,ft.pdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
